y_chelovek,y_zhenshina,y_rebenok,y_zhizn,y_rabota,y_otdih,pos,neg,neut,y_anim,x_first
1,0,0,0,0,0,0,1,0,1,1
1,0,0,0,0,0,0,1,0,1,1
1,0,0,0,0,0,0,1,0,1,1
1,0,0,0,0,0,0,1,0,1,1
1,0,0,0,0,0,0,1,0,1,1
1,0,0,0,0,0,0,1,0,1,1
1,0,0,0,0,0,0,1,0,1,1
1,0,0,0,0,0,0,1,0,1,1
1,0,0,0,0,0,0,1,0,1,1
1,0,0,0,0,0,0,1,0,1,1
1,0,0,0,0,0,0,1,0,1,1
1,0,0,0,0,0,0,1,0,1,1
1,0,0,0,0,0,0,1,0,1,1
1,0,0,0,0,0,0,1,0,1,1
1,0,0,0,0,0,0,1,0,1,1
1,0,0,0,0,0,0,1,0,1,1
1,0,0,0,0,0,0,1,0,1,1
1,0,0,0,0,0,0,1,0,1,1
1,0,0,0,0,0,0,1,0,1,1
1,0,0,0,0,0,0,1,0,1,1
1,0,0,0,0,0,0,1,0,1,1
1,0,0,0,0,0,0,1,0,1,1
1,0,0,0,0,0,0,1,0,1,1
1,0,0,0,0,0,0,1,0,1,1
1,0,0,0,0,0,0,1,0,1,1
1,0,0,0,0,0,0,1,0,1,1
1,0,0,0,0,0,0,1,0,1,1
1,0,0,0,0,0,0,1,0,1,1
1,0,0,0,0,0,0,1,0,1,1
1,0,0,0,0,0,0,1,0,1,1
1,0,0,0,0,0,0,1,0,1,1
1,0,0,0,0,0,0,1,0,1,1
1,0,0,0,0,0,0,0,1,1,1
1,0,0,0,0,0,0,0,1,1,1
1,0,0,0,0,0,0,0,1,1,1
1,0,0,0,0,0,0,0,1,1,1
1,0,0,0,0,0,0,0,1,1,1
1,0,0,0,0,0,1,0,0,1,1
1,0,0,0,0,0,1,0,0,1,1
1,0,0,0,0,0,1,0,0,1,1
1,0,0,0,0,0,1,0,0,1,1
1,0,0,0,0,0,1,0,0,1,1
1,0,0,0,0,0,1,0,0,1,1
1,0,0,0,0,0,1,0,0,1,1
1,0,0,0,0,0,1,0,0,1,1
1,0,0,0,0,0,1,0,0,1,1
1,0,0,0,0,0,1,0,0,1,1
1,0,0,0,0,0,1,0,0,1,1
1,0,0,0,0,0,1,0,0,1,1
1,0,0,0,0,0,1,0,0,1,1
1,0,0,0,0,0,0,1,0,1,0
1,0,0,0,0,0,0,1,0,1,0
1,0,0,0,0,0,0,1,0,1,0
1,0,0,0,0,0,0,1,0,1,0
1,0,0,0,0,0,0,1,0,1,0
1,0,0,0,0,0,0,1,0,1,0
1,0,0,0,0,0,0,1,0,1,0
1,0,0,0,0,0,0,1,0,1,0
1,0,0,0,0,0,0,1,0,1,0
1,0,0,0,0,0,0,1,0,1,0
1,0,0,0,0,0,0,1,0,1,0
1,0,0,0,0,0,0,1,0,1,0
1,0,0,0,0,0,0,1,0,1,0
1,0,0,0,0,0,0,1,0,1,0
1,0,0,0,0,0,0,1,0,1,0
1,0,0,0,0,0,0,1,0,1,0
1,0,0,0,0,0,0,1,0,1,0
1,0,0,0,0,0,0,1,0,1,0
1,0,0,0,0,0,0,1,0,1,0
1,0,0,0,0,0,0,1,0,1,0
1,0,0,0,0,0,0,1,0,1,0
1,0,0,0,0,0,0,1,0,1,0
1,0,0,0,0,0,0,1,0,1,0
1,0,0,0,0,0,0,1,0,1,0
1,0,0,0,0,0,0,1,0,1,0
1,0,0,0,0,0,0,1,0,1,0
1,0,0,0,0,0,0,1,0,1,0
1,0,0,0,0,0,0,1,0,1,0
1,0,0,0,0,0,0,1,0,1,0
1,0,0,0,0,0,0,1,0,1,0
1,0,0,0,0,0,0,1,0,1,0
1,0,0,0,0,0,0,1,0,1,0
1,0,0,0,0,0,0,1,0,1,0
1,0,0,0,0,0,0,1,0,1,0
1,0,0,0,0,0,0,1,0,1,0
1,0,0,0,0,0,0,1,0,1,0
1,0,0,0,0,0,0,1,0,1,0
1,0,0,0,0,0,0,1,0,1,0
1,0,0,0,0,0,0,0,1,1,0
1,0,0,0,0,0,0,0,1,1,0
1,0,0,0,0,0,0,0,1,1,0
1,0,0,0,0,0,0,0,1,1,0
1,0,0,0,0,0,0,0,1,1,0
1,0,0,0,0,0,0,0,1,1,0
1,0,0,0,0,0,0,0,1,1,0
1,0,0,0,0,0,0,0,1,1,0
1,0,0,0,0,0,0,0,1,1,0
1,0,0,0,0,0,1,0,0,1,0
1,0,0,0,0,0,1,0,0,1,0
1,0,0,0,0,0,1,0,0,1,0
1,0,0,0,0,0,1,0,0,1,0
1,0,0,0,0,0,1,0,0,1,0
1,0,0,0,0,0,1,0,0,1,0
1,0,0,0,0,0,1,0,0,1,0
1,0,0,0,0,0,1,0,0,1,0
1,0,0,0,0,0,1,0,0,1,0
0,0,1,0,0,0,0,1,0,1,1
0,0,1,0,0,0,0,0,1,1,1
0,0,1,0,0,0,1,0,0,1,1
0,0,1,0,0,0,1,0,0,1,1
0,0,1,0,0,0,1,0,0,1,1
0,0,1,0,0,0,0,1,0,1,0
0,0,1,0,0,0,0,0,1,1,0
0,0,1,0,0,0,0,0,1,1,0
0,0,1,0,0,0,1,0,0,1,0
0,0,1,0,0,0,1,0,0,1,0
0,0,1,0,0,0,1,0,0,1,0
0,0,1,0,0,0,1,0,0,1,0
0,0,0,0,1,0,0,1,0,0,1
0,0,0,0,1,0,0,1,0,0,1
0,0,0,0,1,0,0,1,0,0,1
0,0,0,0,1,0,0,1,0,0,1
0,0,0,0,1,0,0,1,0,0,1
0,0,0,0,1,0,0,1,0,0,1
0,0,0,0,1,0,0,1,0,0,1
0,0,0,0,1,0,0,1,0,0,1
0,0,0,0,1,0,0,1,0,0,1
0,0,0,0,1,0,0,1,0,0,1
0,0,0,0,1,0,0,1,0,0,1
0,0,0,0,1,0,0,1,0,0,1
0,0,0,0,1,0,0,1,0,0,1
0,0,0,0,1,0,0,1,0,0,1
0,0,0,0,1,0,0,1,0,0,1
0,0,0,0,1,0,0,1,0,0,1
0,0,0,0,1,0,0,1,0,0,1
0,0,0,0,1,0,0,1,0,0,1
0,0,0,0,1,0,0,1,0,0,1
0,0,0,0,1,0,0,1,0,0,1
0,0,0,0,1,0,0,1,0,0,1
0,0,0,0,1,0,0,1,0,0,1
0,0,0,0,1,0,0,1,0,0,1
0,0,0,0,1,0,1,0,0,0,1
0,0,0,0,1,0,1,0,0,0,1
0,0,0,0,1,0,1,0,0,0,1
0,0,0,0,1,0,1,0,0,0,1
0,0,0,0,1,0,1,0,0,0,1
0,0,0,0,1,0,1,0,0,0,1
0,0,0,0,1,0,1,0,0,0,1
0,0,0,0,1,0,1,0,0,0,1
0,0,0,0,1,0,1,0,0,0,1
0,0,0,0,1,0,1,0,0,0,1
0,0,0,0,1,0,1,0,0,0,1
0,0,0,0,1,0,1,0,0,0,1
0,0,0,0,1,0,1,0,0,0,1
0,0,0,0,1,0,1,0,0,0,1
0,0,0,0,1,0,1,0,0,0,1
0,0,0,0,1,0,1,0,0,0,1
0,0,0,0,1,0,1,0,0,0,1
0,0,0,0,1,0,1,0,0,0,1
0,0,0,0,1,0,1,0,0,0,1
0,0,0,0,1,0,1,0,0,0,1
0,0,0,0,1,0,1,0,0,0,1
0,0,0,0,1,0,1,0,0,0,1
0,0,0,0,1,0,1,0,0,0,1
0,0,0,0,1,0,1,0,0,0,1
0,0,0,0,1,0,1,0,0,0,1
0,0,0,0,1,0,1,0,0,0,1
0,0,0,0,1,0,1,0,0,0,1
0,0,0,0,1,0,1,0,0,0,1
0,0,0,0,1,0,1,0,0,0,1
0,0,0,0,1,0,1,0,0,0,1
0,0,0,0,1,0,1,0,0,0,1
0,0,0,0,1,0,0,1,0,0,0
0,0,0,0,1,0,0,1,0,0,0
0,0,0,0,1,0,0,1,0,0,0
0,0,0,0,1,0,0,0,1,0,0
0,0,0,0,1,0,1,0,0,0,0
0,0,0,0,1,0,1,0,0,0,0
0,0,0,0,1,0,1,0,0,0,0
0,0,0,0,1,0,1,0,0,0,0
0,0,0,0,1,0,1,0,0,0,0
0,0,0,0,1,0,1,0,0,0,0
0,0,0,0,1,0,1,0,0,0,0
